No;wage;union;nonwhite;married;education;experience;weights;age;education_in_years;experience_in_years
149087;7.928774361;yes;no;yes;High School;20-24;8114.740234;40;12;22
64964;4.305521348;no;no;yes;College;20-24;4716.129883;45;16;23
22158;8.573926091;no;no;no;Some College;05-Sep;8853.879883;27;13;8
147510;4.316374503;no;no;yes;High School;>=40;6706.009766;61;12;43
176396;5.343146056;no;no;yes;High School;Okt-14;1555.77002;30;12;12
11004;3.681541733;no;no;no;Post-graduate;05-Sep;6690.910156;32;18;8
123794;6.894586523;no;no;yes;College;05-Sep;3399.879883;29;16;7
183817;7.206371551;yes;no;yes;Post-graduate;25-29;6188.47998;49;17;26
176276;9.299176714;yes;no;yes;Post-graduate;05-Sep;1672.869995;29;18;5
63639;6.124277235;no;no;yes;High School;15-19;2031.23999;36;12;18
165039;8.640865261;yes;yes;yes;Some College;15-19;10510.44043;35;14;15
237682;8.938134773;no;no;yes;Some College;15-19;9346.830078;37;13;18
74467;7.31854836;no;no;yes;High School;>=40;8656.780273;63;12;45
261028;7.442683534;yes;no;no;High School;35-39;10707.79004;53;12;35
158425;9.216797299;no;no;yes;High School;15-19;6362.600098;37;12;19
214861;4.109433792;no;no;no;Some College;05-Sep;8189.600098;28;13;9
86123;4.881844543;no;no;no;HS dropout;0-4;5630.029785;17;11;0
75088;8.651440259;yes;no;yes;Some College;Okt-14;7223.810059;32;13;13
120116;5.170939975;no;no;no;High School;Okt-14;8484.44043;30;12;12
118437;12.31228112;no;no;no;Post-graduate;0-4;6130.180176;23;17;0
262687;4.366917212;yes;no;yes;Elementary;30-34;8277.290039;42;2;34
128946;2.654415981;no;yes;no;High School;>=40;2644.840088;63;12;45
130021;3.019828892;no;yes;no;Elementary;35-39;12160.82031;49;8;35
62141;9.120603755;no;no;yes;Post-graduate;Okt-14;1541.75;34;18;10
48129;12.4040202;yes;no;no;College;35-39;6766.629883;57;16;35
26802;5.881188073;no;no;yes;High School;20-24;6205.240234;41;12;23
181312;15.18122752;no;no;yes;Post-graduate;15-19;2964.320068;43;18;19
236269;5.093545513;no;no;yes;High School;15-19;11430.90039;33;12;15
43979;3.313387585;no;no;no;HS dropout;05-Sep;9952.530273;23;11;6
191621;5.97039459;no;no;yes;Some College;Okt-14;4508.410156;33;13;14
175406;13.69811281;no;no;no;High School;15-19;4045.189941;33;12;15
4547;6.303370437;no;no;yes;High School;0-4;7545.290039;22;12;4
77947;9.151010648;no;no;yes;Some College;Okt-14;6980.160156;34;15;13
103726;10.34187997;yes;no;yes;High School;20-24;6993.089844;38;12;20
85562;4.863158123;yes;no;no;Elementary;>=40;6551.470215;63;8;49
169120;6.912597261;yes;no;yes;HS dropout;35-39;6544.529785;55;11;38
111116;2.309686569;no;no;no;HS dropout;0-4;19136.39063;19;10;3
83524;5.617021088;no;no;no;Some College;Okt-14;1563.849976;34;14;14
40811;14.5345344;no;no;yes;Post-graduate;15-19;2038.050049;39;18;15
121390;10.50144544;no;no;yes;High School;20-24;1546.76001;41;12;23
133493;3.284285555;no;yes;no;Elementary;15-19;3755;32;8;18
189615;12.56801818;yes;no;yes;High School;25-29;4887.399902;47;12;29
45585;5.780020142;no;no;yes;Some College;Okt-14;7617.689941;33;14;13
110266;11.30485648;no;no;yes;College;30-34;7145.069824;55;16;33
134250;2.75783486;no;yes;yes;Elementary;20-24;14597.75977;35;7;22
169649;6.914285937;no;no;yes;Elementary;>=40;7747.799805;63;8;49
128755;9.480057015;yes;yes;no;Some College;20-24;2333.199951;40;14;20
73560;16.56693842;no;no;yes;HS dropout;25-29;8088.029785;45;10;29
130989;7.991114832;no;no;no;Post-graduate;0-4;4954.220215;25;17;2
154000;4.358789727;no;no;no;High School;0-4;4418.580078;19;12;1
53232;2.744455674;no;no;no;Elementary;05-Sep;6694.799805;22;8;8
89178;3.895441465;no;no;yes;High School;35-39;8417.990234;57;12;39
39214;10.97782274;no;no;yes;Post-graduate;25-29;6385.120117;53;18;29
23331;6.227976587;yes;yes;yes;Some College;25-29;8745.30957;48;14;28
230465;4.451886662;no;yes;no;High School;25-29;6417.720215;44;12;26
58214;2.929213546;no;no;no;Some College;Okt-14;7458.709961;33;13;14
126160;5.579250568;no;no;no;College;20-24;1500.609985;42;16;20
117501;2.830409403;no;no;no;HS dropout;0-4;7786.569824;17;11;0
228121;5.128623959;no;no;yes;High School;20-24;4293.740234;40;12;22
196663;6.766076535;no;no;yes;Post-graduate;15-19;6581.240234;43;18;19
143215;2.286981663;no;no;no;College;15-19;3437.5;41;16;19
177190;6.600000351;yes;no;yes;Post-graduate;05-Sep;4279.470215;30;18;6
145906;8.833688532;no;no;yes;College;20-24;9117.230469;42;16;20
206267;12.03911112;no;no;yes;High School;25-29;5530.490234;44;12;26
66446;4.702167542;no;no;yes;HS dropout;Okt-14;2971.570068;25;9;10
104550;4.184437993;yes;yes;yes;High School;15-19;8722.5;33;12;15
62120;6.27097757;no;no;yes;College;Okt-14;2106.550049;33;16;11
150265;4.89424965;no;no;yes;High School;05-Sep;8462.919922;25;12;7
226285;5.136792374;no;no;yes;High School;15-19;6477.399902;35;12;17
261330;4.007359606;no;no;yes;Elementary;>=40;6825.930176;54;8;40
122257;2.309686569;no;no;yes;High School;35-39;934.0599976;56;12;38
208542;5.505213266;no;no;yes;HS dropout;35-39;6350.970215;52;11;35
47782;11.70225604;yes;no;no;Some College;30-34;8565.959961;51;14;31
74666;11.13496822;no;no;yes;Some College;05-Sep;7500.450195;26;15;5
76594;5.191011379;no;no;no;High School;0-4;8225.459961;20;12;2
48498;5.450450475;no;no;yes;High School;Okt-14;6396.779785;31;12;13
264106;9.990825416;no;no;no;High School;25-29;10314.20996;44;12;26
177566;5.512222121;no;no;yes;HS dropout;20-24;3839.110107;38;10;22
116156;8.808510069;no;no;yes;Post-graduate;15-19;7110.379883;39;17;16
39962;9.14818569;no;no;no;Post-graduate;20-24;6087.160156;45;18;21
68716;5.488911358;yes;no;no;Post-graduate;35-39;2544.800049;59;17;36
229501;9.588679293;no;no;yes;High School;35-39;4901.379883;55;12;37
35850;4.634831542;no;no;yes;High School;25-29;1087.51001;44;12;26
185978;10.0183993;yes;no;yes;Elementary;25-29;6785.120117;42;8;28
265530;8.296193577;no;no;yes;College;20-24;880.5900269;42;16;20
54158;4.528443316;no;no;yes;High School;20-24;5881.390137;38;12;20
211174;1.769917165;no;no;no;Some College;0-4;8993.660156;21;14;1
219988;8.526979594;no;no;yes;Elementary;Okt-14;1791.900024;28;8;14
26260;8.907976464;no;no;yes;Some College;35-39;8021.950195;56;13;37
101740;4.212765884;no;no;yes;HS dropout;15-19;8397.320313;32;11;15
159710;8.12428668;yes;no;no;High School;20-24;3527.969971;40;12;22
67939;4.360360266;no;no;yes;Elementary;>=40;3907.550049;54;8;40
152069;6.894586523;no;no;no;High School;05-Sep;10696.07031;27;12;9
202466;7.373961538;yes;no;yes;HS dropout;>=40;7578.330078;57;10;41
76966;9.291909696;yes;no;no;High School;>=40;6885.529785;62;12;44
133494;4.290780204;no;no;yes;College;0-4;5584.359863;26;16;4
90066;7.801418323;no;no;yes;College;05-Sep;7909.910156;31;16;9
125762;7.266894673;yes;no;yes;College;30-34;2286.169922;56;16;34
38088;3.234653536;no;no;yes;High School;Okt-14;1707.089966;28;12;10
28260;9.642882638;yes;no;yes;Some College;Okt-14;6849.549805;29;13;10
55935;20.26769896;no;no;yes;Elementary;35-39;7328.759766;49;8;35
3798;4.672277311;no;no;no;High School;15-19;6909.080078;34;12;16
24482;6.303370437;no;no;yes;High School;25-29;7905.859863;46;12;28
201513;2.69888472;no;no;no;Some College;05-Sep;8458.379883;24;13;5
48123;3.893258596;no;no;no;High School;05-Sep;8539.740234;24;12;6
113055;3.535850124;yes;no;no;College;0-4;5857.549805;22;16;0
40040;20.3285647;no;no;yes;Post-graduate;35-39;6289.149902;62;17;39
106201;6.04999984;no;no;no;High School;Okt-14;6884.939941;32;12;14
229866;2.739622479;no;no;no;HS dropout;0-4;9362.330078;19;9;4
89058;4.184437993;no;no;yes;High School;05-Sep;3420.889893;27;12;9
77989;4.417850042;no;no;no;High School;0-4;6831.669922;20;12;2
66242;8.357357114;no;yes;yes;High School;15-19;4882;36;12;18
229990;6.409851651;no;no;yes;Some College;25-29;23186.4707;45;13;26
262141;3.440758375;no;yes;no;High School;Okt-14;7052.799805;28;12;10
127956;14.70845065;no;yes;yes;High School;15-19;9216.959961;36;12;18
79120;5.932584073;yes;no;yes;High School;15-19;7153.609863;35;12;17
246288;5.083364492;no;no;yes;Elementary;>=40;13956.94043;49;3;40
207086;4.96556586;yes;no;no;HS dropout;Okt-14;5270.299805;26;10;10
52625;9.269663101;no;no;no;Some College;05-Sep;6198.879883;26;14;6
16294;3.225074002;no;no;no;Some College;0-4;8193.299805;21;14;1
84978;8.809749223;no;no;yes;Post-graduate;0-4;1345.050049;28;18;4
99760;10.34187997;no;no;yes;Some College;25-29;8817.280273;48;14;28
191976;12.85554596;no;no;yes;Post-graduate;Okt-14;8291.469727;34;18;10
220547;6.642268841;no;no;yes;High School;35-39;8125.100098;57;12;39
208210;7.373961538;yes;no;yes;HS dropout;>=40;5803.919922;61;11;44
192125;2.989020996;no;no;no;High School;0-4;4384.97998;21;12;3
90649;9.262021655;yes;no;yes;High School;35-39;7440.149902;53;12;35
103393;5.683861505;no;no;yes;High School;Okt-14;7455.799805;32;12;14
173695;4.037233934;no;yes;no;Some College;0-4;2825.879883;24;14;4
94483;7.041707284;no;no;yes;High School;25-29;6775.470215;46;12;28
5872;2.595505684;no;no;yes;HS dropout;>=40;2513.879883;60;9;45
100328;3.078070267;no;yes;no;College;25-29;8231.679688;49;16;27
53488;8.875748484;yes;no;no;HS dropout;05-Sep;9911.620117;23;10;7
185651;5.645928913;no;no;yes;Some College;0-4;6316.049805;25;15;4
197886;7.206371551;no;no;no;Some College;15-19;6397.890137;38;14;18
220505;8.580609086;yes;no;yes;HS dropout;30-34;8014.450195;50;10;34
23568;8.086634067;no;no;yes;College;15-19;10355.90039;37;16;15
91975;12.25704231;yes;no;no;HS dropout;20-24;7208.399902;39;11;22
193198;23.35353796;no;no;yes;Post-graduate;05-Sep;6608.220215;30;18;6
172793;4.14857152;no;no;no;Some College;0-4;808.5;22;13;3
234084;2.69888472;no;no;no;HS dropout;0-4;7282.169922;19;10;3
76810;3.659274173;no;yes;yes;Post-graduate;30-34;7495;55;18;31
35321;2.427245501;no;no;no;High School;0-4;660.5900269;21;12;3
244008;4.662385271;no;no;no;High School;Okt-14;10218.37012;28;12;10
151302;2.585470137;no;no;yes;High School;05-Sep;10149.44043;24;12;6
13452;4.482610762;no;yes;yes;High School;>=40;9935.620117;62;12;44
9411;6.520958266;yes;no;no;High School;0-4;7891.52002;22;12;4
242690;4.770729201;no;no;yes;Post-graduate;15-19;8231.5;39;17;16
130030;5.230547628;yes;no;no;Some College;0-4;7776.759766;20;14;0
198449;6.728594152;no;yes;yes;Some College;Okt-14;6457.72998;32;14;12
197880;2.352777774;no;no;no;High School;0-4;7101.259766;20;12;2
67250;10.63462301;no;no;yes;Some College;35-39;2768.959961;57;14;37
205072;9.462084967;yes;no;yes;Post-graduate;15-19;6804.839844;42;18;18
153414;6.597464255;no;no;yes;Post-graduate;Okt-14;931.5999756;36;18;12
167926;4.14857152;no;yes;no;College;0-4;8447;25;16;3
169515;6.205127918;yes;no;no;Post-graduate;Okt-14;10712.86035;38;18;14
236564;2.688888882;no;no;yes;HS dropout;35-39;10533.55957;52;9;37
229222;4.131431364;no;no;yes;High School;35-39;5560.470215;54;12;36
27470;10.20705461;no;no;yes;College;>=40;5149.620117;62;16;40
19698;9.707191129;yes;no;no;High School;30-34;8487.320313;51;12;33
148210;6.482142567;no;yes;yes;Some College;Okt-14;11390.03027;33;14;13
236897;3.440758375;no;no;yes;HS dropout;20-24;7029.75;39;10;23
92161;3.473684248;no;yes;no;HS dropout;05-Sep;13876.12988;23;9;8
22382;4.025201717;yes;no;no;High School;05-Sep;8278.530273;25;12;7
179648;2.65690762;no;no;no;HS dropout;05-Sep;3517.23999;23;11;6
3642;2.458914551;no;no;no;HS dropout;05-Sep;7023.200195;23;9;8
108338;5.158050611;no;no;yes;High School;>=40;7930.180176;58;12;40
32900;3.283416893;no;no;no;High School;05-Sep;8046.180176;26;12;8
57201;3.337078648;no;no;no;College;05-Sep;5918.169922;29;16;7
180860;2.706430538;no;no;yes;High School;15-19;2806.600098;35;12;17
141339;3.318654963;no;no;yes;High School;0-4;10002.91016;22;12;4
254697;9.540167524;yes;no;yes;Some College;35-39;2746.76001;58;14;38
95473;8.751204609;no;no;yes;High School;35-39;7739.450195;57;12;39
242953;8.234564694;yes;no;yes;High School;15-19;13107.34961;34;12;16
225116;7.508033405;no;no;yes;High School;25-29;8127.950195;45;12;27
206925;5.117481459;yes;yes;no;High School;Okt-14;7069.209961;32;12;14
154071;3.651269589;yes;no;yes;HS dropout;Okt-14;1987.619995;27;10;11
132620;2.580403478;no;yes;yes;High School;05-Sep;3717.120117;23;12;5
146113;8.759884369;no;no;yes;Post-graduate;25-29;12212.86035;51;17;28
50868;9.269663101;no;yes;yes;High School;15-19;5349.5;37;12;19
144143;2.934044721;no;no;yes;High School;Okt-14;4945.47998;31;12;13
40744;2.906906792;no;no;no;High School;0-4;2366.919922;18;12;0
123405;8.094895925;no;no;no;Elementary;>=40;2597.360107;57;8;43
63077;4.634831542;no;no;yes;College;30-34;1124.219971;54;16;32
55988;4.025201717;no;no;no;High School;20-24;5019.689941;41;12;23
257268;4.723048556;no;no;yes;Elementary;35-39;8479.169922;49;7;36
109610;8.549559366;no;no;no;College;Okt-14;6796.049805;35;16;13
155525;14.69368406;no;no;yes;Some College;30-34;5475.629883;52;15;31
34890;3.707865136;no;no;no;Elementary;>=40;926.7700195;59;8;45
6187;7.766291504;no;no;yes;High School;15-19;11414.58984;33;12;15
251346;5.642876124;yes;yes;yes;Some College;05-Sep;3612.070068;30;15;9
189861;3.010903874;no;no;yes;High School;05-Sep;5332.810059;24;12;6
244752;6.747211991;no;no;yes;High School;05-Sep;9034.769531;26;12;8
178858;4.007359606;yes;no;yes;High School;05-Sep;3524.830078;25;12;7
49268;6.85955036;yes;no;yes;College;35-39;8130.609863;57;16;35
221211;3.440758375;no;no;yes;Elementary;15-19;6221.819824;30;8;16
22597;9.62912809;yes;no;no;High School;Okt-14;8529.919922;28;12;10
34868;5.577980374;no;no;no;High School;0-4;1191.030029;22;12;4
123755;5.250723337;no;no;no;Some College;0-4;3896.080078;22;13;3
54381;2.434534595;no;no;yes;High School;30-34;4334.97998;50;12;32
252452;5.903810146;no;no;yes;High School;35-39;7518.640137;55;12;37
92864;24.47954983;no;no;yes;Post-graduate;25-29;7542.02002;50;17;27
113040;10.37142909;no;no;yes;Some College;Okt-14;5070.060059;34;15;13
200336;2.319166657;no;no;no;HS dropout;0-4;7472.370117;16;10;0
248434;2.671573182;no;no;no;High School;Okt-14;1956.890015;30;12;12
193681;11.95608403;no;no;yes;High School;30-34;6885.529785;48;12;30
222907;7.326605403;no;yes;no;HS dropout;15-19;1792.329956;35;10;19
10191;25.20883549;no;no;yes;College;25-29;10032.41992;49;16;27
172746;23.44953632;no;no;yes;Some College;15-19;537.039978;37;15;16
37098;2.408019784;no;no;no;Some College;0-4;2214.409912;21;14;1
207249;8.096654322;no;no;no;Some College;20-24;6260.209961;43;14;23
240549;3.082075393;no;yes;yes;Some College;15-19;9718.610352;36;14;16
148562;7.411680794;no;yes;yes;High School;20-24;11224.41016;40;12;22
123929;3.789603678;no;no;yes;Post-graduate;15-19;2495.77002;39;18;15
153578;2.952631467;no;no;no;High School;0-4;2380.219971;20;12;2
7120;7.267267184;no;no;yes;College;0-4;7258.470215;23;16;1
24568;8.609663185;yes;no;yes;Some College;Okt-14;8014.279785;30;13;11
240251;8.325687916;yes;no;no;College;Okt-14;9152.200195;35;16;13
95971;6.055834406;yes;no;yes;High School;Okt-14;8056.580078;31;12;13
232839;8.302836269;no;no;no;High School;15-19;7106.310059;35;12;17
118292;3.064260932;no;no;no;Some College;05-Sep;3988.179932;27;15;6
258894;3.351800587;no;no;no;High School;0-4;7507.100098;22;12;4
131278;6.00305505;yes;no;yes;Post-graduate;05-Sep;3939.649902;32;18;8
21259;5.122984028;no;no;yes;High School;>=40;4586.089844;58;12;40
54089;3.648241399;no;yes;no;Elementary;0-4;2149.080078;16;6;4
155099;4.809126724;yes;no;yes;Elementary;>=40;1100.310059;64;8;50
156084;7.017762855;yes;no;yes;Some College;05-Sep;6094.930176;26;13;7
247190;11.84886807;no;no;yes;Post-graduate;Okt-14;1723.880005;38;18;14
212400;8.28868466;no;no;yes;High School;20-24;6426.490234;41;12;23
58206;4.786004271;no;no;yes;Elementary;Okt-14;6125.359863;25;6;13
59407;11.26489686;no;no;yes;Some College;05-Sep;8686.040039;28;14;8
64090;7.904032224;yes;no;yes;High School;Okt-14;1450.790039;28;12;10
179201;5.727333053;yes;no;yes;High School;20-24;3935.370117;39;12;21
101489;8.156296199;yes;no;yes;Elementary;>=40;6760.209961;60;8;46
37978;13.34831464;yes;no;yes;Elementary;>=40;1859.589966;61;8;47
233064;5.811985588;no;no;no;High School;20-24;6529.859863;41;12;23
40127;12.42520402;no;no;yes;Post-graduate;25-29;5269.779785;53;18;29
265684;12.51724133;yes;no;yes;HS dropout;30-34;733.3400269;47;9;32
93456;9.247857816;yes;no;yes;Some College;Okt-14;7557.27002;33;13;14
29720;3.234653536;no;no;no;Some College;0-4;9665.150391;20;13;1
85758;2.808510539;no;no;no;Some College;35-39;6205.959961;56;14;36
230538;2.671573182;no;no;yes;Elementary;35-39;12527.75977;51;7;38
263092;4.612431087;yes;no;yes;Elementary;>=40;11277.05957;58;1;51
103522;7.783625395;no;no;yes;Post-graduate;35-39;6988.609863;62;17;39
223401;6.853133426;no;no;no;Some College;15-19;10260.08008;36;15;15
214668;2.32479417;no;no;no;HS dropout;0-4;8088.189941;17;9;2
263346;7.442683534;no;no;yes;High School;15-19;7124.339844;37;12;19
160378;3.562316001;no;no;yes;HS dropout;15-19;2171.23999;34;11;17
127063;3.520853635;no;yes;yes;High School;20-24;7384.52002;38;12;20
249200;17.27037466;no;no;yes;Post-graduate;05-Sep;1375.72998;32;18;8
72736;7.607784076;yes;no;yes;Some College;Okt-14;8202.730469;31;13;12
93868;2.154558465;no;no;yes;Elementary;25-29;5932.279785;37;4;27
35304;14.97057185;no;no;yes;Post-graduate;35-39;525.8599854;59;17;36
148314;5.683543056;no;yes;yes;Some College;Okt-14;11390.03027;30;14;10
134910;4.91489375;no;yes;no;High School;15-19;10336.5;35;12;17
11799;6.659879262;yes;yes;yes;High School;20-24;7337.080078;39;12;21
238295;2.597645506;no;no;no;High School;05-Sep;5596.080078;23;12;5
48697;5.375123392;no;no;yes;High School;05-Sep;6357.399902;27;12;9
8935;17.77361601;no;no;yes;Post-graduate;15-19;9226.620117;43;18;19
204359;4.201388848;no;no;no;Some College;0-4;7842.839844;19;13;0
108186;4.481481248;no;no;yes;Some College;05-Sep;10258.2002;28;13;9
225916;3.586020544;no;no;no;HS dropout;0-4;7154.490234;19;11;2
197883;11.39612149;no;no;yes;Some College;15-19;6609.990234;37;14;17
52192;2.969325075;no;no;no;Post-graduate;0-4;6981.819824;26;17;3
197502;4.662385271;no;no;no;Some College;0-4;7024.470215;20;13;1
160817;3.276595775;yes;no;yes;Post-graduate;30-34;2452.149902;57;18;33
223936;3.373605989;yes;yes;no;Elementary;Okt-14;3977.310059;24;7;11
165328;3.274928725;no;no;no;Some College;0-4;5385.700195;21;13;2
19349;9.269663101;no;no;no;Some College;05-Sep;8747.360352;24;13;5
85706;4.423404409;no;no;no;High School;05-Sep;6619.390137;26;12;8
236888;4.128910016;no;yes;no;Elementary;>=40;6374.419922;54;5;43
203691;19.24951135;no;no;yes;Post-graduate;30-34;7837.5;58;18;34
68654;5.75049499;no;no;yes;High School;30-34;2390.25;49;12;31
259169;4.128910016;yes;no;no;Elementary;Okt-14;7584.089844;22;6;10
92863;7.32549889;no;no;yes;College;25-29;8693.769531;48;16;26
227488;7.949154091;no;no;yes;College;15-19;9543.049805;38;16;16
26351;1.483146057;no;no;no;HS dropout;0-4;8448.389648;17;11;0
176341;4.563816706;no;no;no;High School;Okt-14;1263.660034;28;12;10
206909;15.38656183;no;no;yes;Post-graduate;Okt-14;5309.080078;38;18;14
200657;3.667352701;no;no;no;High School;0-4;8638.129883;21;12;3
181122;7.421933423;no;no;yes;High School;20-24;2933.360107;42;12;24
164001;10.42105171;yes;yes;yes;High School;Okt-14;8882.280273;29;12;11
123603;10.42105171;no;no;yes;Post-graduate;05-Sep;3477.560059;29;18;5
143713;7.824119144;no;yes;yes;Post-graduate;20-24;4878.310059;47;18;23
65668;5.567484762;no;no;yes;Elementary;Okt-14;6183.640137;28;8;14
104234;10.34187997;no;no;yes;High School;>=40;7334.850098;64;12;46
49376;2.427245501;no;no;no;HS dropout;0-4;8455.759766;19;10;3
3018;9.14818569;yes;no;yes;College;Okt-14;5228.629883;32;16;10
87966;4.253906386;no;no;no;High School;05-Sep;7309.859863;25;12;7
183340;2.681440399;no;no;no;HS dropout;0-4;5592.75;16;10;0
247622;5.042594025;no;no;yes;College;0-4;1866.359985;26;16;4
210501;12.1449817;no;no;yes;High School;20-24;6969.930176;39;12;21
97843;3.712469779;no;no;yes;High School;05-Sep;4735.669922;26;12;8
31772;2.523336695;no;no;no;Some College;Okt-14;6122.290039;31;15;10
20786;8.16564347;yes;no;yes;High School;20-24;5797.410156;40;12;22
68497;8.528089679;no;no;yes;High School;15-19;1719.47998;34;12;16
110292;13.09971651;yes;no;yes;High School;Okt-14;7769.140137;32;12;14
74406;18.2251058;no;no;yes;Post-graduate;25-29;7085.339844;53;18;29
15179;6.488764394;no;no;yes;High School;05-Sep;9012.379883;27;12;9
131604;8.297143055;yes;no;yes;HS dropout;Okt-14;3012.899902;28;11;11
166598;8.488668826;no;yes;yes;High School;15-19;9047.769531;35;12;17
17816;8.600197218;yes;no;no;High School;Okt-14;7118.77002;31;12;13
193178;15.41828249;no;no;yes;Post-graduate;Okt-14;7775.390137;38;18;14
129300;4.245614181;yes;yes;yes;High School;25-29;6867.580078;45;12;27
260310;5.546294885;no;no;no;High School;15-19;10634.83008;35;12;17
16858;6.59176003;no;no;yes;College;05-Sep;7600.129883;30;16;8
181858;2.546772752;no;no;no;HS dropout;0-4;8870.549805;17;11;0
94325;15.75905398;no;yes;yes;Post-graduate;05-Sep;8562.009766;30;18;6
211819;9.472506363;no;no;yes;Post-graduate;20-24;11575.62012;43;17;20
196055;16.8911547;no;no;yes;High School;30-34;8064.819824;50;12;32
136893;8.101139866;no;yes;yes;HS dropout;>=40;8157.129883;56;9;41
119472;7.239316227;yes;no;yes;High School;35-39;7324.700195;55;12;37
251740;8.155714781;no;no;yes;Some College;20-24;3300.129883;42;14;22
2356;2.487289021;no;no;yes;HS dropout;0-4;640.3499756;18;10;2
4307;7.114070035;yes;no;yes;Post-graduate;15-19;5172.75;39;17;16
104313;5.688034151;yes;no;yes;Elementary;>=40;6433.509766;56;3;47
31422;5.407149649;no;no;no;Some College;0-4;6958.470215;22;15;1
97645;15.80408121;no;no;yes;Post-graduate;Okt-14;4588.140137;37;17;14
229442;5.918261814;yes;no;no;High School;05-Sep;5596.109863;24;12;6
69332;5.854838534;yes;no;yes;Some College;15-19;2622.669922;38;15;17
199021;8.892558096;yes;no;yes;Post-graduate;30-34;6433.560059;56;17;33
148671;3.022105257;no;no;yes;High School;15-19;6768.790039;35;12;17
236195;2.934022685;no;no;no;High School;0-4;9419.349609;19;12;1
201246;5.458646659;no;no;yes;HS dropout;>=40;8896.480469;64;10;48
186870;9.760065322;no;no;yes;High School;30-34;7595.450195;48;12;30
32371;2.966292031;no;no;no;College;0-4;6059.180176;22;16;0
250576;2.537278585;no;no;no;HS dropout;0-4;7440.600098;17;11;0
261950;3.985361264;no;no;no;HS dropout;15-19;10987.70996;35;10;19
153614;8.873334293;no;no;yes;Post-graduate;Okt-14;1689.280029;36;17;13
83892;5.860398958;no;no;yes;High School;05-Sep;1609.119995;27;12;9
20816;2.866732349;no;no;no;High School;0-4;6202.890137;20;12;2
99957;4.136752364;yes;no;no;Some College;05-Sep;7139.569824;26;13;7
89240;5.699705462;yes;no;yes;Some College;15-19;7698.089844;38;14;18
109018;10.84854337;no;no;no;College;05-Sep;7540.299805;29;16;7
229370;5.799811945;no;no;yes;High School;25-29;8197.469727;43;12;25
82246;6.959356135;no;yes;yes;High School;35-39;1997.02002;53;12;35
227385;3.985361264;no;yes;no;Some College;0-4;6612.930176;21;13;2
111634;6.04999984;no;no;yes;Post-graduate;Okt-14;7665.129883;35;18;11
139904;2.527659504;no;no;yes;HS dropout;05-Sep;8633.240234;23;9;8
58369;4.082822214;no;no;no;High School;0-4;14265.07031;20;12;2
86770;3.792022699;no;no;no;HS dropout;05-Sep;4455.25;22;10;6
96422;2.48144535;no;no;no;HS dropout;Okt-14;6801.830078;28;11;11
122339;3.500482162;no;no;no;High School;Okt-14;1353.359985;30;12;12
47970;4.013065187;no;no;yes;HS dropout;Okt-14;9906.889648;29;9;14
85926;2.358971885;no;no;no;HS dropout;0-4;7462.689941;19;11;2
52474;5.9478648;no;no;no;College;35-39;6893.910156;59;16;37
57791;6.508965333;no;no;yes;Some College;Okt-14;6408.52002;30;13;11
117524;5.600771323;yes;no;yes;High School;15-19;7464.97998;36;12;18
142778;7.021276545;no;no;yes;HS dropout;15-19;6661.700195;35;11;18
202467;4.263490297;no;no;no;Some College;0-4;8048.47998;23;15;2
9542;10.94472441;yes;yes;yes;High School;>=40;8704.860352;58;12;40
94781;13.29670246;yes;no;yes;Post-graduate;25-29;6465.919922;51;18;27
117940;2.671737043;no;no;no;High School;0-4;8592.820313;20;12;2
166390;3.48703169;no;no;no;Some College;0-4;4856.560059;21;14;1
234507;6.120387923;yes;no;yes;High School;25-29;6953.890137;47;12;29
10388;6.037924324;no;no;yes;Post-graduate;05-Sep;9146.099609;32;17;9
76804;8.086634067;no;no;yes;Post-graduate;25-29;7156.669922;50;18;26
23172;10.14371194;no;no;no;HS dropout;Okt-14;7604.950195;26;9;11
219968;3.487191317;no;yes;no;High School;0-4;1993.849976;20;12;2
162689;5.281280548;no;no;yes;College;05-Sep;5039.459961;27;16;5
76114;25.51286183;no;no;yes;High School;35-39;7629.330078;55;12;37
143929;2.75783486;no;no;yes;Some College;25-29;3341.600098;46;14;26
21645;6.626775182;yes;no;yes;Some College;15-19;8221.669922;36;14;16
45247;3.707865136;no;yes;no;High School;0-4;5770.819824;19;12;1
223808;7.335056046;no;no;yes;High School;>=40;10074.33008;58;12;40
79139;17.32090524;yes;no;yes;College;15-19;6942.290039;37;16;15
228172;9.159027802;no;no;no;College;0-4;3980.379883;23;16;1
260090;11.31232759;yes;no;yes;Some College;35-39;9803.919922;56;14;36
182720;8.805929409;no;no;yes;Some College;15-19;6825.129883;36;13;17
82920;1.890624993;no;no;yes;High School;Okt-14;2603.090088;29;12;11
219802;5.903810146;no;no;yes;High School;Okt-14;2120.679932;30;12;12
86975;21.34832764;no;no;yes;College;30-34;7248.879883;53;16;31
34167;2.444321539;no;no;no;HS dropout;0-4;1256.319946;17;10;1
213856;4.714285794;no;no;yes;Some College;30-34;8907.530273;53;14;33
92331;2.345322998;no;no;no;Some College;0-4;8545.080078;23;15;2
91442;10.34187997;yes;no;yes;College;05-Sep;7274.97998;28;16;6
174722;2.681440399;yes;no;no;High School;05-Sep;3403.189941;23;12;5
136184;2.600490703;no;yes;no;Some College;0-4;11424.07031;24;15;3
60423;6.379455673;no;no;no;High School;15-19;5564.319824;34;12;16
180318;9.158256995;no;no;yes;College;25-29;4183.529785;50;16;28
